"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20080101010229I","01-JAN-08","SAN DIEGO","CA","SAN DIEGO INTL","INCIDENT","NONE","TAKEOFF GROUND ROLL","AIRBUS","A319","111","FRONTIER AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","932FR","0","0","CFMINT","CFM565B5P","CFM56","2","AIRLINE TRANSPORT","0","3151","162",""
"20080103010509I","03-JAN-08","ASPEN","CO","ASPEN-PITKIN CO/SARDY FIELD","INCIDENT","MINOR","FINAL APPROACH","RAYTHEON","RA-390","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","300SL","0","0","","","","2","COMMERCIAL PILOT","0","0","0",""
"20080104010909I","04-JAN-08","CHESWOLD","DE","","INCIDENT","MINOR","FINAL APPROACH","BEECH","BE-36","BE-36-A36","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","12KT","0","0","","","","1","PILOT NOT CERTIFICATED","0","0","0",""
"20080106000049I","06-JAN-08","FORT WORTH","TX","FORT WORTH MEACHAM INTL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","BEECH","BE-58","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","21YM","0","0","CONT","IO550C","O550","2","AIRLINE TRANSPORT","0","0","0",""
"20080106832379I","06-JAN-08","SACRAMENTO","CA","SACRAMENTO INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","EMBRAER","ERJ-145","LR","EXPRESSJET AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","14562","0","0","","","","2","","0","0","0",""
"20080108000179I","08-JAN-08","","PA","","INCIDENT","MINOR","OTHER GROUND OPERATIONS","BUCKEYE","DREAM MACHINE","","","PERSONAL","GENERAL OPERATING RULES","NONE","7042R","0","0","ROTAX","ROTAX582","582","","PILOT NOT CERTIFICATED","0","0","0",""
"20080109000289I","09-JAN-08","","TX","","INCIDENT","NONE","NORMAL CRUISE","BOEING","737","300","CONTINENTAL AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","17328","0","0","GE","CFM56*","CFM56","2","AIRLINE TRANSPORT","0","0","0",""
"20080109011219I","09-JAN-08","","IL","DUPAGE","INCIDENT","SUBSTANTIAL","TO INITIAL CLIMB (1ST POWER REDUCTION)","LEARJET-BOMBARDIER","LEARJET 45","","","EXECUTIVE","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","863CA","0","0","","","","2","","0","0","0",""
"20080114011989I","14-JAN-08","KAUNAKAKAI","HI","MOLOKAI","INCIDENT","NONE","FINAL APPROACH","PIPER","PA-31","PA-31-350","AIR MOLOKAI NUI INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","830SA","0","0","LYC","TIO540J2BD","O540","2","","0","0","0",""
"20080122010059I","22-JAN-08","EASTSOUND","WA","ORCAS ISLAND","INCIDENT","MINOR","TAKEOFF GROUND ROLL","VANS","RV-4","","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","32LS","0","0","","","","1","AIRLINE TRANSPORT","0","0","0",""
